Lon Lat SoilCode
44.262294769287109 36.934921264648438 2
142.75862121582031 -12.623332977294922 3
7.9411764144897461 62.181453704833984 1
99.204544067382812 11.688272476196289 4
-64.7191162109375 -10.753210067749023 4
46.956520080566406 7.9480252265930176 2
173.07691955566406 69.661819458007812 2
13.917526245117188 -3.2727160453796387 2
104.31818389892578 11.688272476196289 4
-61.318695068359375 8.883087158203125 4
48 23.844070434570312 1
-149.0625 64.051551818847656 2
17.532466888427734 21.973947525024414 3
110 51.895858764648438 2
-58 -9.8181476593017578 4
53.114753723144531 36.934921264648438 3
-122.58621215820312 39.740100860595703 2
17.628866195678711 -3.2727160453796387 2
109.03845977783203 45.350452423095703 2
-60.30926513671875 -3.2727160453796387 3
52.799999237060547 23.844070434570312 1
-113.47825622558594 50.960800170898438 2
19.285715103149414 28.519374847412109 1
114.54545593261719 63.116500854492188 6
-55.10205078125 2.3376541137695312 4
55.200000762939453 23.844070434570312 7
-104.02597045898438 21.973947525024414 2
21.857143402099609 28.519374847412109 2
122 51.895858764648438 2
-49.5 -0.4675309956073761 3
68.507461547851562 31.324558258056641 3
-95 60.311347961425781 6
24.428571701049805 28.519374847412109 1
126 51.895858764648438 2
-37.894744873046875 -5.1428399085998535 1
73.536582946777344 17.298641204833984 4
-81.96429443359375 41.610218048095703 2
29.189189910888672 24.779132843017578 2
135.56962585449219 -20.103824615478516 2
-4.33734130859375 16.363580703735352 1
81.5625 34.129737854003906 3
-75.9375 -4.2077779769897461 3
27.551019668579102 2.3376541137695312 4
137.84809875488281 -20.103824615478516 4
-2.168670654296875 16.363580703735352 1
77.926826477050781 17.298641204833984 3
-56.89654541015625 -12.623332977294922 4
45 39.740100860595703 2
-101.42855834960938 35.064800262451172 2
16.363636016845703 -1.4025930166244507 2
110.54347991943359 -7.9480252265930176 4
-48.4615478515625 69.661819458007812 1
54.782608032226562 50.960800170898438 2
-99.183685302734375 48.155628204345703 2
19.148935317993164 -6.0779008865356445 1
111.77419281005859 35.999858856201172 2
-51.600006103515625 -23.844070434570312 4
58.571430206298828 35.064800262451172 2
-95.51019287109375 48.155628204345703 6
21.95121955871582 55.636081695556641 2
116.84210205078125 40.675159454345703 2
-45 -6.0779008865356445 4
62.608695983886719 50.960800170898438 2
-87.906982421875 53.765968322753906 2
24 51.895858764648438 1
119.22077941894531 -21.973947525024414 2
-42.680419921875 -3.2727160453796387 2
69.622642517089844 44.415393829345703 6
-74.70001220703125 0.4675309956073761 3
28 51.895858764648438 2
124.73683929443359 40.675159454345703 2
-6.81817626953125 32.259616851806641 2
81 56.571136474609375 6
-72.857147216796875 -15.428518295288086 2
31.111110687255859 18.23370361328125 2
129.23077392578125 57.506191253662109 2
1.25 26.649253845214844 2
91.25 26.649253845214844 4
-71.16278076171875 53.765968322753906 1
30 29.454435348510742 2
133.84616088867188 57.506191253662109 2
2.4000000953674316 23.844070434570312 3
79.811317443847656 44.415393829345703 3
-73 9.8181476593017578 4
31.578947067260742 40.675159454345703 2
138.46153259277344 57.506191253662109 2
13.54838752746582 -7.012962818145752 4
95.625 64.051551818847656 2
-72.39129638671875 -7.9480252265930176 4
33.75 49.090686798095703 2
158.57142639160156 54.701026916503906 2
11.25 4.2077779769897461 3
98.265304565429688 2.3376541137695312 3
-70.243896484375 55.636081695556641 1
35.526317596435547 22.90900993347168 1
147.69230651855469 -21.038887023925781 3
13.5 0.4675309956073761 4
101.25 26.649253845214844 3
-68.507476806640625 -31.324558258056641 1
40.263156890869141 22.90900993347168 2
-176.89654541015625 66.856689453125 2
